entry_dir,checkpoint,dataset_type,main_task_type,degrade_type,count,psnr_mean,psnr_std,ssim_mean,ssim_std
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,eyeq_restoration_test,fundus_restoration,spot,9,33.28644397383509,7.595621944273746,0.9235604682166405,0.02142355936298561
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,real_fundus_restoration_test,fundus_restoration,low quality fundus image,12,18.96129605539338,3.3030175497209613,0.5943485068672196,0.06921623532072459
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,blur,10,22.778101000538644,3.2582953976649494,0.8674446487741703,0.042574138049831595
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,blur+illumination,9,27.254320050786397,8.077049614473554,0.8788547082690701,0.059261172464468964
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,blur+illumination+spot,5,25.811767640579557,7.060804862753287,0.8994946005734832,0.04110513417758583
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,blur+spot,8,27.720464793868754,7.650998694020234,0.8798204172195401,0.05052950320723218
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,illumination,7,26.060049420239007,5.288032501381147,0.9095796341372491,0.025025072233043615
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,illumination+spot,5,26.69519522571129,7.841557216410106,0.8876423314243602,0.027405917561718226
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0008000,refuge_restoration_test,fundus_restoration,spot,6,20.886900051050347,2.4794393699451946,0.8534066516413287,0.05828384950095705
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0010000,eyeq_restoration_test,fundus_restoration,blur,10,34.771875151021135,1.6762346434638027,0.9162796768365663,0.019013263880258244
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0010000,eyeq_restoration_test,fundus_restoration,blur+illumination,7,20.40413464504663,4.034394817067587,0.8063404366752566,0.0615280601528515
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0010000,eyeq_restoration_test,fundus_restoration,blur+illumination+spot,6,20.091068181233727,2.0539474352689213,0.7891276522339504,0.04561793884048502
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0010000,eyeq_restoration_test,fundus_restoration,blur+spot,7,35.36203723978927,1.6995528655886483,0.9201574920002439,0.019760967354562682
stage1_train_pixel_loss_l2_50_eye_0_5_max_T_lr_2_5e-6_pixel_weight_10_ver2,stage1_medq_2nodes_unif_eyeQ1_sr_pixel_loss_0_5_max_T_lr_2_5e-6_pixel_weight_10000_0010000,eyeq_restoration_test,fundus_restoration,illumination,7,20.329520345600628,1.3054341661686992,0.8324737149894829,0.046740984688191066
